rankAdvantage,eloAdvantage,surfaceEloAdvantage,surfaceWinRateAdvantage,surfaceMatchSampleAdvantage,recentFormAdvantage,recentSampleAdvantage,h2hAdvantage,h2hSampleSize,ageAdvantage,experienceAdvantage,rankMissingAdvantage,ageMissingAdvantage,tournamentLevel,result,matchDate,tournament,surface,level,playerA,playerB
-76,0.0,0.0,0.0,0,0.0,0,0,0,-1.0,0,0,0,0.18,0,20100111,Sydney,hard,500,Varvara Lepchenko,Maria Jose Martinez Sanchez
-27,0.0,0.0,0.0,0,0.0,0,0,0,-0.10000000000000142,0,0,0,0.18,0,20100111,Sydney,hard,500,Timea Bacsinszky,Dominika Cibulkova
25,0.0,0.0,0.0,0,0.0,0,0,0,4.100000000000001,0,0,0,0.18,1,20100111,Sydney,hard,500,Svetlana Kuznetsova,Alisa Kleybanova
-13,0.0,0.0,0.0,0,0.0,0,0,0,-1.3000000000000007,0,0,0,0.18,0,20100111,Sydney,hard,500,Francesca Schiavone,Elena Dementieva
-4,0.0,0.0,0.0,0,0.0,0,0,0,-0.09999999999999787,0,0,0,0.18,1,20100111,Sydney,hard,500,Daniela Hantuchova,Virginie Razzano
-68,0.0,0.0,0.0,0,0.0,0,0,0,-4.300000000000001,0,0,0,0.18,0,20100111,Sydney,hard,500,Jill Craybas,Agnieszka Radwanska
-24,12.0,12.0,0.09999999999999998,1,0.09999999999999998,1,0,0,0.8000000000000007,1,0,0,0.18,0,20100111,Sydney,hard,500,Maria Jose Martinez Sanchez,Serena Williams
-14,0.0,0.0,0.0,0,0.0,0,0,0,-0.1999999999999993,0,0,0,0.18,1,20100111,Sydney,hard,500,Vera Dushevina,Elena Vesnina
-5,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.18,0,20100111,Sydney,hard,500,Na Li,Flavia Pennetta
-13,0.0,0.0,0.0,0,0.0,0,0,0,-1.8000000000000007,0,0,0,0.18,0,20100111,Sydney,hard,500,Agnes Szavay,Aravane Rezai
-57,0.0,0.0,0.0,0,0.0,0,0,0,-7.600000000000001,0,0,0,0.18,0,20100111,Sydney,hard,500,Kimiko Date Krumm,Victoria Azarenka
-935,-12.0,-12.0,-0.09999999999999998,-1,-0.09999999999999998,-1,0,0,1.6999999999999993,-1,0,0,0.18,0,20100111,Sydney,hard,500,Casey Dellacqua,Vera Dushevina
21,0.0,0.0,0.0,0,0.0,0,0,0,3.8999999999999986,0,0,0,0.18,0,20100111,Sydney,hard,500,Svetlana Kuznetsova,Dominika Cibulkova
18,0.0,0.0,0.0,0,0.0,0,0,0,-1.5,0,0,0,0.18,1,20100111,Sydney,hard,500,Elena Dementieva,Daniela Hantuchova
-8,12.0,12.0,0.09999999999999998,1,0.09999999999999998,1,0,0,-2.8999999999999986,1,0,0,0.18,0,20100111,Sydney,hard,500,Agnieszka Radwanska,Dinara Safina
-42,11.171398827245866,11.171398827245866,0.06666666666666665,1,0.06666666666666665,1,0,0,-0.6000000000000014,1,0,0,0.18,0,20100111,Sydney,hard,500,Vera Dushevina,Serena Williams
-15,0.0,0.0,0.0,0,0.0,0,0,0,-1.3999999999999986,0,0,0,0.18,1,20100111,Sydney,hard,500,Aravane Rezai,Flavia Pennetta
17,-12.0,-12.0,-0.06666666666666665,-1,-0.06666666666666665,-1,0,0,-0.20000000000000284,-1,0,0,0.18,1,20100111,Sydney,hard,500,Victoria Azarenka,Dominika Cibulkova
-3,11.585699413622933,11.585699413622933,0.06666666666666665,1,0.06666666666666665,1,0,0,0.10000000000000142,1,0,0,0.18,1,20100111,Sydney,hard,500,Elena Dementieva,Dinara Safina
-26,-0.8000141155898746,-0.8000141155898746,0.0,0,0.0,0,0,0,-1.0,0,0,0,0.18,0,20100111,Sydney,hard,500,Aravane Rezai,Serena Williams
2,11.185691787672113,11.185691787672113,0.04761904761904767,1,0.04761904761904767,1,0,0,3.400000000000002,1,0,0,0.18,1,20100111,Sydney,hard,500,Elena Dementieva,Victoria Azarenka
4,-10.441403038381623,-10.441403038381623,-0.0357142857142857,-1,-0.0357142857142857,-1,0,0,0.0,-1,0,0,0.18,0,20100111,Sydney,hard,500,Serena Williams,Elena Dementieva
-20,-12.0,-12.0,-0.09999999999999998,1,-0.09999999999999998,1,0,0,-1.9000000000000021,1,0,0,0.18,1,20100111,Sydney,hard,500,Elena Vesnina,Vera Zvonareva
13,12.0,12.0,0.09999999999999998,-1,0.09999999999999998,-1,0,0,-4.699999999999999,-1,0,0,0.18,0,20100111,Sydney,hard,500,Caroline Wozniacki,Na Li
-1,0.0,0.0,0.0,-2,0.0,-2,0,0,1.5,-2,0,0,0.18,0,20100111,Sydney,hard,500,Samantha Stosur,Flavia Pennetta
-40,-12.027631459816348,-12.027631459816348,-0.0714285714285714,-3,-0.0714285714285714,-3,0,0,1.8000000000000007,-3,0,0,0.18,0,20100111,Sydney,hard,500,Anna Lena Groenefeld,Aravane Rezai
32,12.0,12.0,0.09999999999999998,-1,0.09999999999999998,-1,0,0,3.8000000000000007,-1,0,0,0.18,0,20100111,Sydney,hard,500,Jelena Jankovic,Agnes Szavay
15,12.800507266271097,12.800507266271097,0.0714285714285714,3,0.0714285714285714,3,0,0,0.09999999999999787,3,0,0,0.18,1,20100111,Sydney,hard,500,Victoria Azarenka,Sabine Lisicki
44,12.0,12.0,0.09999999999999998,-1,0.09999999999999998,-1,0,0,11.700000000000003,-1,0,0,0.18,0,20100111,Sydney,hard,500,Nadia Petrova,Kimiko Date Krumm
71,25.132907408814617,25.132907408814617,0.125,4,0.125,4,0,0,4.599999999999998,4,0,0,0.32,1,20100118,Australian Open,hard,grand_slam,Serena Williams,Urszula Radwanska
49,0.0,0.0,0.0,0,0.0,0,0,0,6.100000000000001,0,0,0,0.32,1,20100118,Australian Open,hard,grand_slam,Iveta Benesova,Kai Chen Chang
-55,-24.358593340331254,-24.358593340331254,-0.125,-4,-0.125,-4,0,0,-0.8999999999999986,-4,0,0,0.32,0,20100118,Australian Open,hard,grand_slam,Tathiana Garbin,Victoria Azarenka
24,-12.414300586377067,-12.414300586377067,-0.09999999999999998,1,-0.09999999999999998,1,0,0,-3.1999999999999993,1,0,0,0.32,1,20100118,Australian Open,hard,grand_slam,Caroline Wozniacki,Shahar Peer
